project_title,project_number,project_year,sponsoring_forum,proposing_economy,project_status,fund_account,sub_fund,project_session,apec_funding,co_funding_amount,total_project_value,project_cost_usd,topics,committee,other_fora_involved,co_sponsoring_economies,organization_1,organization_2,link
Standardizing Senior-Friendly Food Design: A Pathway to Innovation and Healthy Aging in APEC,SCSC_105_2025A,2025,Sub-Committee on Standards and Conformance (SCSC),China,Project in Implementation,APEC Support Fund,"ASF: Innovative Development, Economic Reform and Growth (IERG)",Session 1,"80,000",0,"80,000",,Health; Science and Technology; Standards and Conformance,Committee on Trade and Investment (CTI),,"Hong Kong, China; Japan; Korea; Singapore",China National Institute of Standardisation (CNIS),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15766
Guide for the Training of Women Mentors in STEM: A Perspective Based on Outstanding Experiences,PPWE_202_2025A,2025,Policy Partnership on Women and the Economy (PPWE),Peru,Project in Implementation,APEC Support Fund,ASF: Women and the Economy,Session 2,"122,298","1,500","123,798",,Women's Economic Empowerment; Science and Technology,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; Chile; Japan; Mexico; Chinese Taipei,Ministry of Women and Vulnerable Populations,Ministry of Women and Vulnerable Populations,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15922
Capacity Building Project on Effective Use of Market Study Tools to Inform Competition Enforcement Policy,CPLG_201_2025A,2025,Competition Policy and Law Group (CPLG),China,Project in Implementation,APEC Support Fund,ASF: Enhanced APEC Agenda on Structural Reform (EAASR),Session 2,"142,588","20,000","162,588",,Competition Policy,Economic Committee (EC),,"Hong Kong, China; New Zealand; Singapore","Competition Policy and Assessment Center of the State Administration for Market Regulation, PR China",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15930
APEC Workshop on Promoting Carbon Pricing for Energy Efficiency,EWG_206_2025A,2025,Energy Working Group (EWG),Viet Nam,Project in Implementation,APEC Support Fund,"ASF: Energy Efficiency, Low Carbon and Energy Resiliency Measures (EELCER)",Session 2,"99,895","10,000","109,895",,Energy; Environment; Green Economy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Hong Kong, China; Japan; Korea; Papua New Guinea; Peru; Philippines; Chinese Taipei; Thailand","Ministry of Industry and Trade, Viet Nam",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15971
Workshop on typical marine ecosystems conservation and restoration for coastal resilience enhancement,OFWG_206_2025A,2025,Oceans and Fisheries Working Group (OFWG),China,Project in Implementation,APEC Support Fund,ASF: Marine Debris Management and Innovation (MDMI),Session 2,"150,000","20,000","170,000",,Sustainable Oceans and Marine Debris; Environment; Human Resources Development,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; Indonesia; Peru; Thailand,"Third Institute of Oceanography, Ministry of Natural Resources of the People's Republic of China; APEC Marine Sustainable Development Center","Third Institute of Oceanography, Ministry of Natural Resourcesof the People's Republic of China; APEC Marine Sustainable Development Center",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15917
Capacity Building on Community-Based Conservation and Regional Collaboration for Long-Distance Key Migratory Marine Species,OFWG_204_2025A,2025,Oceans and Fisheries Working Group (OFWG),China,Project in Implementation,APEC Support Fund,ASF: Marine Debris Management and Innovation (MDMI),Session 2,"150,000","50,000","200,000",,Sustainable Oceans and Marine Debris; Environment; Green Economy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Hong Kong, China; Russia; Thailand","First Institute of Oceanography, Ministry of Natural Resources of the People's Republic of China","First Institute of Oceanography, Ministry of Natural Resources of the People's Republic of China",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15916
Structural Reforms for Disability: Increasing Economic Participation through Access to Assistive Technology,EC_02_2025S,2025,Economic Committee (EC),Australia,Completed Project,Self-Funded,,,,,,$0.00,Legal Infrastructure; Structural Reform,Economic Committee (EC),,Canada; Malaysia; Singapore; Chinese Taipei,"Department of Foreign Affairs and Trade, Australia",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15722
APEC Women in STEM Symposium 2025 - Empowering Women in AI for a Sustainable future,PPSTI_111_2025A,2025,"APEC Policy Partnership on Science, Technology and Innovation (PPSTI)",Korea,Completed Project,APEC Support Fund,ASF: Digital Innovation,Session 1,"93,514","110,000","203,514",,Women's Economic Empowerment; Digital Technology and Innovation; Human Resources Development,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Canada; Peru; Philippines; Chinese Taipei,"Korean Foundation for Women in Science, Engineering, and Technology (WISET)","Korean Foundation for Women in Science, Engineering, and Technology (WISET)",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15761
Bridging National and Voluntary Sustainability Standards: the development of common criteria for voluntary sustainability standards to improve certificate acceptance for coffee products,SCSC_206_2025A,2025,Sub-Committee on Standards and Conformance (SCSC),Indonesia,Project in Implementation,APEC Support Fund,ASF: Structural Reform for Sustainable Green Growth (SRSGG),Session 2,"95,963",0,"95,963",,Standards and Conformance; Agriculture,Committee on Trade and Investment (CTI),,Australia; China; Thailand; Viet Nam,Indonesia Standardisation Agency,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15935
Exploring potential for harnessing AI within creative industries in APEC,PPSTI_105_2025A,2025,"APEC Policy Partnership on Science, Technology and Innovation (PPSTI)",Russia,Project in Implementation,APEC Support Fund,"ASF: Innovative Development, Economic Reform and Growth (IERG)",Session 1,"95,753",0,"95,753",,Digital Economy; Digital Technology and Innovation; Science and Technology,SOM Steering Committee on Economic and Technical Cooperation (SCE),,China; Indonesia; Malaysia; Philippines,Ministry of Economic Development of the Russian Federation,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15768
APEC Women in STEM and Digital Economy Policy Studies,PPSTI_101_2025,2025,"APEC Policy Partnership on Science, Technology and Innovation (PPSTI)",Peru,Project in Implementation,General Project Account,None,Session 1,"125,500","5,406","130,906",,Science and Technology; Digital Economy; Women's Economic Empowerment,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; Canada; Korea; Papua New Guinea; Philippines; Chinese Taipei; Thailand,University of Piura,Universiti Sains,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15816
APEC FSCF Updates to APEC iMRL Compendium,SCSC_01_2026S,2026,Sub-Committee on Standards and Conformance (SCSC),United States,Project in Implementation,Self-Funded,,,,,,$0.00,Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Australia; Chinese Taipei,USDA Foreign Agricultural Service,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16060
APEC Seminar on Capacity Building for Promoting Investment Facilitation,IEG_01_2026S,2026,Investment Experts Group (IEG),China,Project in Implementation,Self-Funded,,,,,,"$70,000.00",Investment,Committee on Trade and Investment (CTI),,Peru; Thailand,"Department of International Trade and Economic Affairs, Ministry of Commerce, People's Republic of China",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16058
APEC Sustainable Social Entrepreneurship Training (ASSET 2026),HRDWG_104_2025A,2025,Human Resource Development Working Group (HRDWG),Korea,Project in Implementation,APEC Support Fund,ASF: General Fund,Session 1,"116,068","60,000","176,068",,"Education; Human Resources Development; Micro, Small and Medium Enterprises; Women's Economic Empowerment; Youth",SOM Steering Committee on Economic and Technical Cooperation (SCE),,China; Indonesia; Malaysia; New Zealand; Papua New Guinea; Peru; Philippines; Russia; Chinese Taipei; Thailand,Ministry of Education,Institute of APEC Collaborative Education (IACE),https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15827
Modernization of the Care Economy,PPWE_03_2025S,2025,Policy Partnership on Women and the Economy (PPWE),Australia,Project in Implementation,Self-Funded,,,,,,"$60,000.00",Gender; Women's Economic Empowerment,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Brunei Darussalam; Japan; Korea; Malaysia; Papua New Guinea; Philippines; Chinese Taipei,Department of Foreign Affairs and Trade,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16056
Workshop on Use of International Instruments to Legally Enable End-to-End Digitalization of Trade,EC_01_2025S,2025,Economic Committee (EC),"Hong Kong, China",Completed Project,Self-Funded,,,,,,$0.00,Legal Infrastructure; Structural Reform,Economic Committee (EC),,Australia; Canada; Chile; China; Indonesia; Japan; Singapore; Thailand,Hong Kong International Legal Talents Training Office,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15718
Workshop on Sharing Best Public and Private Practices in the Aquaculture Sector and Coexisting with Biodiversity in the APEC Region,OFWG_208_2024A,2024,Oceans and Fisheries Working Group (OFWG),Peru,Project in Implementation,APEC Support Fund,ASF: General Fund,Session 2,"89,938","5,000","94,938",,Digital Technology and Innovation; Environment; Green Economy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; China; New Zealand; Thailand; Viet Nam,Environmental Assessment and Enforcement Agency (Organismo de Evaluacion y Fiscal Ambiental (OEFA),Environmental Assessment and Enforcement Agency (Organismo de Evaluacion y Fiscal Ambiental (OEFA),https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15661
Promoting Policy Approaches and Measures to Enhance Agri-Food Supply Chain Resilience through Public-Private Cooperation,PPFS_01_2026S,2026,Policy Partnership on Food Security (PPFS),Australia,Project in Implementation,Self-Funded,,,,,,$0.00,Food Security,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Canada; Chile; China; Indonesia; Japan; New Zealand; Peru; Singapore; Thailand; Viet Nam,"Department of Agriculture, Fisheries and Forestry",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16057
Strengthening standard knowledge on women culinary food safety and its food waste management in supporting the domestic tourism,SCSC_102_2024T,2024,Sub-Committee on Standards and Conformance (SCSC),Indonesia,Completed Project,TILF Special Account,None,Session 1,"80,000","20,000","100,000",,Conformance; Standards and Conformance; Tourism; Food Security,Committee on Trade and Investment (CTI),,China; Peru; Viet Nam,National Research and Innovation Agency,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15435
Mutual Recognition Agreements for the Conformity Assessment of Telecommunications Equipment (TEL MRAs): Best Practices for Implementation,TELWG_02_2024S,2024,Telecommunications and Information Working Group (TELWG),United States,Completed Project,Self-Funded,,,,,,$0.00,Telecommunications,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; Japan; Korea; Chinese Taipei,National Institute of Standards and Technology (NIST),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15559
Improving Ease of Doing Business in APEC: A Focus on Critical Areas of Reform,EC_201_2025,2025,Economic Committee (EC),United States,Project in Implementation,General Project Account,None,Session 2,"100,363","90,000","190,363",,Structural Reform,Economic Committee (EC),,Australia; Canada; Korea; New Zealand; Chinese Taipei,US Department of State,Cadmus Group,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15961
"APEC Workshop on Enabling Environment to Support ESG (Environmental, Social, and Governance) SMEs",SMEWG_202_2025,2025,Small and Medium Enterprises Working Group (SMEWG),Viet Nam,Project in Implementation,General Project Account,None,Session 2,"111,135","10,000","121,135",,"Micro, Small and Medium Enterprises; Green Economy; Structural Reform",SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; China; Indonesia; Korea; New Zealand; Peru; Philippines; Russia; Singapore; Thailand,"Ministry of Industry and Trade, Viet Nam",Ministry of Industry and Trade Viet Nam,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15966
Realizing the Transformative Potential of Cloud Technologies,TELWG_201_2025A,2025,Telecommunications and Information Working Group (TELWG),United States,Project in Implementation,APEC Support Fund,ASF: Digital Innovation,Session 2,"191,028","110,000","301,028",,Digital Technology and Innovation; Data Privacy; Digital Economy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; Japan; Mexico; Papua New Guinea,US Department of State,Cadmus Group,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15989
Discovering Cross-Border Government Credential Interoperability: Privacy- Enhanced Multi-Economy Workshop Initiative,DESG_202_2025A,2025,Digital Economy Steering Group (DESG),Chinese Taipei,Project in Implementation,APEC Support Fund,ASF: Digital Innovation,Session 2,"100,000","40,000","140,000",,Digital Economy; Digital Technology and Innovation; Data Privacy,Committee on Trade and Investment (CTI),,Chile; Japan; New Zealand; Papua New Guinea; Thailand,Ministry of Digital Affairs,Ministry of Digital Affairs,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15980
Universal Acceptance (UA) Capacity Building,TELWG_202_2025A,2025,Telecommunications and Information Working Group (TELWG),Australia,Project in Implementation,APEC Support Fund,ASF: Digital Innovation,Session 2,"143,226","7,373","150,599",,Telecommunications; Digital Economy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,China; Japan; Korea,"Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15987
Toward Data-Driven and Evidence-Based Policy in APEC Region: Best Practices for Assessing and Evaluating the Impact of FTAs on Services Trade,GOS_201_2025A,2025,Group on Services (GOS),Indonesia,Project in Implementation,APEC Support Fund,ASF: General Fund,Session 2,"99,993",0,"99,993",,Services Trade; Trade Liberalization,Committee on Trade and Investment (CTI),,Australia; China; Japan; Korea; Peru; Philippines; Thailand,Ministry of Trade,Ministry of Trade,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15995
APEC Study on How Zero-carbon Industrial Parks Help With Energy Transition and Carbon Reduction in APEC Economies,EWG_205_2025A,2025,Energy Working Group (EWG),China,Project in Implementation,APEC Support Fund,"ASF: Energy Efficiency, Low Carbon and Energy Resiliency Measures (EELCER)",Session 2,"49,994","40,000","89,994",,Energy; Science and Technology,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Chile; Hong Kong, China; Korea; Papua New Guinea; Thailand",Integrated Smart Energy Co. Ltd of State Power Investment Corporation,Integrated Smart Energy Co. Ltd of State Power Investment Corporation,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15974
APEC Policy Exchange Workshop for Technology Commercialization Professional Dialogue,PPSTI_106_2025A,2025,"APEC Policy Partnership on Science, Technology and Innovation (PPSTI)",China,Project in Implementation,APEC Support Fund,ASF: Connectivity,Session 1,"100,538","25,200","125,738",,Science and Technology; Digital Economy; Women's Economic Empowerment,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; Malaysia; Peru; Thailand,Zhongguancun Technology Managers Association,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15784
Cross Border Bridging Strategies Between Manufacturing Startups and SMEs to Accelerate Digital Manufacturing and Marketing Competencies in APEC Region,PPSTI_209_2024A,2024,"APEC Policy Partnership on Science, Technology and Innovation (PPSTI)",Indonesia,Project in Implementation,APEC Support Fund,ASF: General Fund,Session 2,"127,311",0,"127,311",,Digital Technology and Innovation,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Canada; Chile; China; Korea; Chinese Taipei,National Research and Innovation Agency,National Research and Innovation Agency,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15684
